date,Főváros férfi,"100,000 fő feletti település férfi","20,000-100,000 fős település férfi","5,000-20,000 fős település férfi","5,000 fő alatti település férfi",Főváros nő,"100,000 fő feletti település nő","20,000-100,000 fős település nő","5,000-20,000 fős település nő","5,000 fő alatti település nő"
1986,910099,574106,956290,1054828,1633317,1068131,629674,1022819,1101538,1681267
1987,909141,575881,956790,1045724,1626356,1066711,632542,1024481,1089009,1677200
1988,908691,577235,957207,1045136,1614354,1065505,634548,1026682,1089387,1666477
1989,906632,577937,956421,1040261,1609587,1062937,636569,1027480,1084881,1664601
1990,905157,579018,965687,1029516,1599939,1060881,638583,1038000,1081295,1655935
1991,901419,578745,997893,1002751,1595439,1055400,638857,1070398,1047171,1654779
1992,901375,580338,974152,1017188,1595433,1053529,640622,1049544,1065716,1656721
1993,898626,581009,993240,991036,1598841,1049839,641573,1070795,1040096,1664002
1994,890887,580115,992602,990988,1595385,1040856,641962,1071728,1041821,1664611
1995,881151,577888,990386,983981,1602878,1029747,640979,1071841,1036624,1675942
1996,870652,574831,986919,986460,1600156,1018348,638443,1069837,1041623,1676382
1997,859853,572458,983977,989133,1596066,1005915,636856,1068676,1046097,1673478
1998,838349,564326,973258,987642,1593937,988035,631568,1061807,1048277,1673216
1999,826149,560999,967993,991782,1586471,975334,629276,1059393,1054503,1666863
2000,813649,558200,962205,994768,1584191,961938,627215,1055351,1059536,1664964
2001,799984,554557,948367,1017356,1577555,947321,623917,1041915,1084642,1658973
2002,787922,550754,944256,1017376,1578268,934171,620619,1038609,1086030,1660115
2003,793874,551167,946507,1017749,1588506,932998,620098,1038507,1085355,1668536
2004,783879,546687,942192,1023529,1582497,923048,616336,1034938,1092077,1661237
2005,764811,540968,933372,1026386,1573736,910071,613374,1030373,1097820,1653058
2006,775470,543099,938262,1038934,1568416,914639,613845,1033001,1108544,1644195
2007,772617,541354,914770,1057299,1569694,911906,613706,1009362,1127802,1643537
2008,778804,541755,925039,1047890,1569119,915201,614514,1020065,1117263,1640349
2009,780183,541557,915283,1061865,1563538,914840,614586,1010616,1130869,1632028
2010,780953,540421,913812,1048712,1570752,913989,613577,1008958,1117130,1638478
2011,781744,538822,911065,1041069,1569530,913156,612292,1006188,1108568,1635684
2012,782420,538211,908507,1036168,1566597,912006,611236,1002845,1103505,1630225
2013,783556,537409,906380,1034723,1561931,911058,609846,999610,1101109,1622565
2014,787015,490156,950854,1035651,1556720,911391,555817,1049124,1101193,1613528
2015,791518,489521,948638,1036866,1553022,913131,554434,1046010,1101174,1605856
2016,793330,488790,936545,1045309,1552604,911942,552365,1031656,1109753,1600366
2017,789859,486846,932637,1044792,1551424,907508,549421,1027322,1109134,1595918
2018,789461,485355,929433,1039431,1554518,903590,547059,1023440,1102400,1595766
