NUTS5NAME,value,date
Aba,4003,1986
Abádszalók,5781,1986
Abaliget,560,1986
Abasár,3402,1986
Abaújalpár,176,1986
Abaújkér,767,1986
Abaújlak,179,1986
Abaújszántó,3530,1986
Abaújszolnok,206,1986
Abaújvár,418,1986
Abda,2719,1986
Abony,15532,1986
Ábrahámhegy,727,1986
Ács,7671,1986
Acsa,1512,1986
Acsád,728,1986
Acsalag,659,1986
Ácsteszér,841,1986
Adács,3144,1986
Ádánd,2144,1986
Adásztevel,923,1986
Adony,3530,1986
Adorjánháza,933,1986
Adorjás,230,1986
Ág,232,1986
Ágasegyháza,2066,1986
Ágfalva,1474,1986
Aggtelek,637,1986
Agyagosszergény,1064,1986
Ajak,4568,1986
Ajka,33730,1986
Aka,358,1986
Akasztó,3894,1986
Alacska,937,1986
Alap,2331,1986
Alattyán,2135,1986
Albertirsa,11180,1986
Alcsútdoboz,1547,1986
Aldebrő,826,1986
Alibánfa,482,1986
Almamellék,614,1986
Almásfüzitő,2641,1986
Almásháza,92,1986
Almáskamarás,1408,1986
Almáskeresztúr,128,1986
Almásneszmély,2967,1986
Álmosd,1930,1986
Alsóberecki,804,1986
Alsódobsza,508,1986
Alsógagy,168,1986
Alsómocsolád,450,1986
Alsónána,857,1986
Alsónémedi,4772,1986
Alsónemesapáti,780,1986
Alsónyék,986,1986
Alsóörs,1061,1986
Alsópáhok,1145,1986
Alsópetény,812,1986
Alsórajk,536,1986
Alsóregmec,305,1986
Alsószenterzsébet,127,1986
Alsószentiván,829,1986
Alsószentmárton,899,1986
Alsószölnök,512,1986
Alsószuha,579,1986
Alsótelekes,264,1986
Alsótold,244,1986
Alsóvadász,1584,1986
Alsózsolca,5565,1986
Ambrózfalva,617,1986
Anarcs,1898,1986
Andocs,1389,1986
Andornaktálya,2579,1986
Andrásfa,400,1986
Apácatorna,226,1986
Apagy,2429,1986
Apaj,974,1986
Aparhant,1244,1986
Apátfalva,4074,1986
Apátistvánfalva,504,1986
Apátvarasd,182,1986
Apc,3111,1986
Áporka,1070,1986
Apostag,2313,1986
Áprádhalom,763,1986
Aranyosapáti,2231,1986
Aranyosgadány,339,1986
Arka,168,1986
Arló,4261,1986
Arnót,1766,1986
Ároktő,1550,1986
Árpás,375,1986
Ártánd,640,1986
Ásotthalom,4414,1986
Ásványráró,2108,1986
Aszaló,1939,1986
Aszód,5646,1986
Aszófő,324,1986
Áta,241,1986
Átány,1878,1986
Atkár,1714,1986
Attala,1005,1986
Babarc,1032,1986
Babarcszőlős,161,1986
Babócsa,2017,1986
Bábolna,3364,1986
Bábonymegyer,999,1986
Babosdöbréte,580,1986
Babót,1292,1986
Bácsalmás,8456,1986
Bácsbokod,3378,1986
Bácsborsód,1404,1986
Bácsszentgyörgy,307,1986
Bácsszőlős,695,1986
Badacsonytomaj,2635,1986
Badacsonytördemic,999,1986
Bag,4080,1986
Bagamér,2775,1986
Baglad,119,1986
Bagod,1270,1986
Bágyogszovát,1578,1986
Baj,1942,1986
Baja,39418,1986
Bajánsenye,742,1986
Bajna,2149,1986
Bajót,1583,1986
Bak,1851,1986
Bakháza,236,1986
Bakóca,474,1986
Bakonszeg,1397,1986
Bakonya,374,1986
Bakonybánk,621,1986
Bakonybél,1643,1986
Bakonycsernye,3343,1986
Bakonygyirót,271,1986
Bakonyjákó,788,1986
Bakonykoppány,318,1986
Bakonykúti,156,1986
Bakonynána,1024,1986
Bakonyoszlop,633,1986
Bakonypéterd,316,1986
Bakonypölöske,491,1986
Bakonyság,195,1986
Bakonysárkány,1117,1986
Bakonyszentiván,319,1986
Bakonyszentkirály,1006,1986
Bakonyszentlászló,2056,1986
Bakonyszombathely,1664,1986
Bakonyszücs,450,1986
