date,főváros,"100,000 fő fölötti település","20,000-100,000 fős település","5,000-20,000  fős település","5,000 fő alatti település"
1986,1978230,1203780,1979109,2156366,3314584
1987,1975852,1208423,1981271,2134733,3303556
1988,1974196,1211783,1983889,2134523,3280831
1989,1969569,1214506,1983901,2125142,3274188
1990,1966038,1217601,2003687,2110811,3255874
1991,1956819,1217602,2068291,2049922,3250218
1992,1954904,1220960,2023696,2082904,3252154
1993,1948465,1222582,2064035,2031132,3262843
1994,1931743,1222077,2064330,2032809,3259996
1995,1910898,1218867,2062227,2020605,3278820
1996,1889000,1213274,2056756,2028083,3276538
1997,1865768,1209314,2052653,2035230,3269544
1998,1826384,1195894,2035065,2035919,3267153
1999,1801483,1190275,2027386,2046285,3253334
2000,1775587,1185415,2017556,2054304,3249155
2001,1747305,1178474,1990282,2101998,3236528
2002,1722093,1171373,1982865,2103406,3238383
2003,1726872,1171265,1985014,2103104,3257042
2004,1706927,1163023,1977130,2115606,3243734
2005,1674882,1154342,1963745,2124206,3226794
2006,1690109,1156944,1971263,2147478,3212611
2007,1684523,1155060,1924132,2185101,3213231
2008,1694005,1156269,1945104,2165153,3209468
2009,1695023,1156143,1925899,2192734,3195566
2010,1694942,1153998,1922770,2165842,3209230
2011,1694900,1151114,1917253,2149637,3205214
2012,1694426,1149447,1911352,2139673,3196822
2013,1694614,1147255,1905990,2135832,3184496
2014,1698406,1045973,1999978,2136844,3170248
2015,1704649,1043955,1994648,2138040,3158878
2016,1705272,1041155,1968201,2155062,3152970
2017,1697367,1036267,1959959,2153926,3147342
2018,1693051,1032414,1952873,2141831,3150284
